# observed	canonical	provenance
deutsch	deutsch	language-fts-playground-german-demo
deutschen	deutsch	language-fts-playground-german-demo
deutscher	deutsch	language-fts-playground-german-demo
deutsche	deutsch	language-fts-playground-german-demo
deutsches	deutsch	language-fts-playground-german-demo
schnell	schnell	language-fts-playground-german-demo
schnelle	schnell	language-fts-playground-german-demo
schnellen	schnell	language-fts-playground-german-demo
schneller	schnell	language-fts-playground-german-demo
schnellem	schnell	language-fts-playground-german-demo
fuehrung	fuehrung	language-fts-playground-german-demo
fuehrungen	fuehrung	language-fts-playground-german-demo
strasse	strasse	language-fts-playground-german-demo
strassen	strasse	language-fts-playground-german-demo
kind	kind	language-fts-playground-german-demo
kindern	kind	language-fts-playground-german-demo
baum	baum	language-fts-playground-german-demo
baeume	baum	language-fts-playground-german-demo
haus	haus	language-fts-playground-german-demo
haeuser	haus	language-fts-playground-german-demo
spiel	spiel	language-fts-playground-german-demo
spielen	spiel	language-fts-playground-german-demo
spielte	spiel	language-fts-playground-german-demo
gespielt	spiel	language-fts-playground-german-demo
suche	suche	language-fts-playground-german-demo
suchen	suche	language-fts-playground-german-demo
